CDP,Region,Subregion,Technology,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52
CDP3,NSW,NNSW,Snowy 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,NSW,NNSW,Deep storage,0,0,0,0,0,0,24.00000042024,24.0000004824,24.00000050784,24.00000050784,24.00000063576,24.00000179328,24.00000188976,24.0000522756,24.00005230944,24.00005230944,24.00005230944,24.00005230944,24.00005230944,24.00005263152,35.99999981904,35.99999981904,35.99999981904,35.99999981904,35.99999981904,35.99999981904,35.99999981904,35.99999981904
CDP3,NSW,NNSW,Medium storage,0,0,2.2,2.2000003500000003,2.2000004878,9.59257847744,9.59257847744,9.592578506879999,9.592578550919999,9.592578550919999,9.59257869084,9.59257870684,9.59257872524,9.59257923648,9.59257927512,9.592579280239999,9.59257928544,9.59257929404,9.59257932608,9.59257942248,9.59257953756,9.59257954732,7.39257965616,7.39257936944,7.3925793468,3.36402201176,3.36402201176,3.36402267568
CDP3,NSW,NNSW,Shallow storage,0,0.039,0.439,0.639,0.639,0.639,0.639,0.639,0.639,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0,0,0,0,0,0
CDP3,NSW,NNSW,Coordinated CER storage,0.0493208353,0.09364722916,0.14902686410000002,0.2183351056,0.2986241504,0.427121262,0.56608411874,0.720784151565,0.898869120475,1.10115566433,1.33591699872,1.59333809215,1.846972363455,2.123920836135,2.42624560765,2.71790515625,3.02371555395,3.34110959145,3.6779820144500004,4.030670585699999,4.4071547162,4.799326098750001,5.1895122948,5.59507727125,6.0139811764,6.4037881865,6.4951188732,6.5854777866
CDP3,NSW,NNSW,Passive CER storage,0.11933334170000001,0.1669597293,0.2092675262,0.24690154849999998,0.2745999151,0.3127725181,0.3577673001,0.3964131469,0.4328094093,0.46733001339999997,0.5088355526,0.5507880770000001,0.5781947566,0.6044823268,0.6274140349,0.6435568448,0.6512899545,0.6538736915,0.6538493038000001,0.6511590986,0.6539627004999999,0.6582078115000001,0.6518476812,0.6461456349,0.6360651382,0.6234314393,0.6405591491,0.6551407424
CDP3,NSW,CNSW,Snowy 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,NSW,CNSW,Deep storage,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001,6.271000000000001
CDP3,NSW,CNSW,Medium storage,0,2.392,2.392,3.8658400521600003,3.8658400841600002,4.02799316624,3.86791316624,4.02799316624,3.86791316624,3.86791316624,4.02799317952,3.8679131795199995,3.8679131795199995,4.02799318752,3.86791318752,3.86791318752,3.86791318752,3.86791318752,3.86791318752,4.02799318752,3.8679132130399996,1.6359932130400001,1.4759132222399998,1.47591317008,1.63599316872,1.4747833701599997,1.4747833701599997,1.6348635692
CDP3,NSW,CNSW,Shallow storage,0,0.028,0.71554891745,1.13246194522,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.33006733124,2.30206733124,1.6145184137900002,1.19760538602,0.11380996787,0.11380996787,0.11380996787,0.11380996787
